ODI_ID,MFR_NAME,CRASH_YN,FIRE_YN,NUM_INJURED,NUM_DEATHS,INCIDENT_DT,RECVD_DT,VIN,COMPONENT,DESCR,PRODUCT_TYPE,MODEL_YR,MAKE,MODEL
10459314,Honda (American Honda Motor Co.),No,No,0,0,2012-04-16,2012-05-22,5J8TB1H55CA,"ENGINE | STRUCTURE:BODY","1. NOTICED VEHICLE LEAKING OIL AT FRONT OF ENGINE BLOCK. DEALER INSPECTED AND AFTER SEVERAL ATTEMPTS IDENTIFIED A CASTING/MANUFACTURING DEFECT IN RIGHT FRONT TOP OF ENGINE BLOCK (NOTCH) THAT WAS CAUSING OIL LEAK.

2. SEVERAL DAYS LATER ON MAY 21ST FOR NO APPARENT REASON, MOONROOF IMPLODED.  *TT",VEHICLE,2012,ACURA,RDX
10576642,Honda (American Honda Motor Co.),No,No,0,0,2014-03-28,2014-04-01,5J8TB2H54CA,ELECTRICAL SYSTEM | ENGINE AND ENGINE COOLING | VEHICLE SPEED CONTROL,"WHILE COMING TO A STOP AT A BUSY INTERSECTION, THE ENGINE SUDDENLY ACCELERATED UP TO 5,000 TO 6,000 RPM WITH MY FOOT ON THE BRAKE AND THE TRANSMISSION IN DRIVE. THE BRAKE WAS NOT HOLDING AND I STARTED MOVING CLOSER TO THE CAR STOPPED FOR THE RED LIGHT IN FRONT OF ME. I THEN PUT THE TRANSMISSION IN NEUTRAL WHILE THE ENGINE WAS STILL AT 5,000 RPM AND GETTING FASTER. FINALLY, THE ENGINE CAME DOWN TO ABOUT 1,000 RPM AND I CONTINUED THROUGH THE INTERSECTION ON THE GREEN LIGHT AFTER PLACING THE CAR IN DRIVE. I DROVE TO WORK AND CALLED THE ACURA DEALER THAT I PURCHASED THIS ""CERTIFIED USED CAR"" FROM AND THEY CAME TO MY WORK AND HAULED THE ACURA RDX TO THE DEALER LOCATION. THEY INFORMED ME THAT A ""SPECIAL ACURA INVESTIGATING TEAM"" WILL COME AND LOOK AT THE CAR ON TUESDAY, APRIL 1, 2014. 
THIS IS MY WIFE'S CAR I DON'T EVEN KNOW WHAT WOULD HAVE HAPPENED IF SHE WAS DRIVING. THIS INSTANT ACCELERATION, WITHOUT PLACING THE CAR IN NEUTRAL, WOULD HAVE PUSHED THE CAR IN FRONT OF ME AND MYSELF DIRECTLY INTO A BUSY INTERSECTION WITHOUT STOPPING UNTIL THE ENGINE QUIT! THIS FAILURE COULD RESULT IN A VERY TRAGIC ACCIDENT. I AND ESPECIALLY MY WIFE ARE VERY VERY CONCERNED WITH WHAT CAUSED THIS PROBLEM AND WE ARE AWAITING WORD FROM THE ACURA DEALER SPECIFIC TO WHAT THEY FOUND DURING THEIR INVESTIGATION.

MY WIFE DOES NOT WANT TO DRIVE THIS CAR IF THEY INDICATE THEY CAN NOT FIND OUT WHAT CAUSED THE CAR TO SUDDENLY ACCELERATE. THIS COULD HAPPEN TO ANYONE DRIVING THIS CAR AND NEEDS TO BE INVESTIGATED ASAP SO NO ONE WILL SUFFER. WE WERE VERY LUCKY THIS TIME.",VEHICLE,2012,ACURA,RDX
10671263,Honda (American Honda Motor Co.),No,No,0,0,2014-12-23,"2015-01-09T15:32:36Z",5J8TB1H28CA,UNKNOWN OR OTHER,"DEC. 23 2014: MY HUSBAND AND I WERE TRAVELING DOWN HIGHWAY GA400 AT APPROX. 60 MPH. ALL WINDOWS WERE CLOSED, THE SUNROOF & SUNROOF SHADE WERE CLOSED. APPROX. OUTSIDE TEMP WAS 45F, CLOUDY DAY, INSIDE VEHICLE TEMP WAS APPROX. 70F. THERE WERE NO CARS OR OBJECTS DIRECTLY IN FRONT OF THE VEHICLE ON THE HIGHWAY. SUDDENLY, WE HEARD A LOUD POP THAT SEEMED TO COME FROM THE ROOF OF THE CAR.  SINCE WE DID NOT SEE ANYTHING MAKE CONTACT WITH THE ROOF OF THE CAR, WE DIDN'T INVESTIGATE FURTHER. JAN. 4, 2015: AGAIN TRAVELING ON THE HIGHWAY ABOUT 70MPH, WE HEARD A NOISE FROM THE SUNROOF. APPARENTLY PIECES OF GLASS FLYING OFF THE TOP OF THE ROOF.  AFTER, WE HEARD THE FAINT SOUND OF OUTSIDE AIR COMING FROM SUNROOF. THE PASSENGER OPENED THE SUNROOF SHADE JUST ENOUGH TO IMMEDIATELY SEE THAT THE ENTIRE SUNROOF GLASS WAS SHATTERED (PARTIALLY INTACT, BUT COMPLETELY SHATTERED). WITHIN THREE MINUTES WHEN A SAFE PLACE WAS REACHED, THE VEHICLE WAS PULLED OVER TO EXAMINE FROM OUTSIDE. DRIVER GOT OUT OF THE CAR, AND SAW THAT THE GLASS SUNROOF WAS BUCKLED UPWARDS (AS THOUGH IT HAD POPPED FROM THE INSIDE), WITH A HOLE IN THE CENTER APPROXIMATELY 6 INCHES IN DIAMETER. THE GLASS WAS NOT BROKEN IN ANY PATTERN WHICH INDICATED AN OBJECT FROM OUTSIDE THE VEHICLE HAD HIT IT. THERE WAS NO EVIDENCE ANYWHERE ELSE ON THE ROOF OF THE VEHICLE OF ANY INCIDENT. IT WAS CLEAR THAT THE GLASS HAD POPPED, POTENTIALLY DUE TO INCORRECT PRESSURE INSIDE THE VEHICLE, FROM THE INSIDE OUT. 
THESE FACTORS LEAD US TO BELIEVE THE INCIDENT IS A VEHICLE SAFETY ISSUE, AT THE FAULT OF THE MANUFACTURER.  WE CONTACTED ACURA CORPORATE TO FILE A REPORT JAN 8, 2015.  ",VEHICLE,2012,ACURA,RDX
10818539,Honda (American Honda Motor Co.),No,No,0,0,2016-01-05,2016-01-06,5J8TB2H22CA,STEERING,MY VEHICLE HAS ONLY 50K MILES. WHILE DRIVING ON THE HIGHWAY I NOTICED A SOUND WHEN MOVING THE STEERING WHEEL. WHEN I EXITED THE ROAD THE WHEEL WAS MORE DIFFICULT TO TURN AND THE SOUND INCREASED. MY VEHICLE WAS TOWED TO A GARAGE AND I WAS TOLD THAT I NEEDED A COSTLY REPLACEMENT OF TH RACK-N-PINION.,VEHICLE,2012,ACURA,RDX
10836547,Honda (American Honda Motor Co.),No,No,0,0,2016-02-08,"2016-02-17T01:06:18Z",5J8TB2H20CA,POWER TRAIN | STEERING,"WITHIN THE FIRST 2 YEARS AN INDEPENDENT MECHANIC NOTICED MY RACK AND PINION WAS LEAKING. THE ACURA DEALER REPLACED THE RACK AND PINION UNDER WARRANTY 28,782.00 MMI MAY 16, 2014.  I WAS EXPERIENCING VIBRATION ESPECIALLY AT SPEEDS OF 60-65. IT KEPT GETTING WORSE I THOUGHT IT WAS THE ROAD, TIRES OUT OF BALANCE, WHEELS OUT OF BALANCE? I GOT NEW TIRES, BALANCED. IT CONTINUED. I READ ABOUT COMPLAINTS WITH THE AXLE AND SIMILAR SYMPTOMS IN OTHER 
ACURA SEDAN MODELS, NOT THE RDX. I TOOK IT TO THE DEALER AND THE AXLE DID NEED TO REPLACED AT 46,306.00 MILES 11/30/15. IT WAS ON BACK ORDER FOR OVER A MONTH. I WAS DRIVING IN A PARKING LOT FEBRUARY 8, 2016 AND HEARD A TERRIBLE LOUD GRINDING NOISE TURNING THE WHEEL. I PUT IT IN PARK AND IT STOPPED THEN I PROCEEDED AGAIN AND IT HAPPENED AFTER MOVING A FEW YARDS. I TRIED TO PULL TO A SAFE OUT OF THE WAY SPOT AND THE NOISE CAME AGAIN AND THIS TIME JUST WHEN PUTTING IT IN DRIVE THE TERRIBLE LOUD GRINDING TYPE NOISE CAME. I THOUGHT THE ENGINE WAS GOING TO FAIL. I STOPPED WHERE I WAS AND CALLED AAA FOR A TOW. IT WAS TOWED TO THE DEALER. THE AXLE HAD BROKEN INSIDE ON A PIECE ON THE LEFT SIDE. THERE WAS NO DAMAGE TO THE VEHICLE IE, I DID NOT HIT ANYTHING ETC... THE SERVICE MANAGER SAID MAYBE THE PART WAS DEFECTIVE, HE DID NOT SEE ANY DAMAGE. HE HAD ONE IN STOCK AND WAS ABLE TO REPLACE IT RIGHT AWAY. THERE IS STILL A CREAKING NOISE WHEN I TURN THE WHEEL ESPECIALLY TO THE RIGHT OR WHEN I STEP ON THE BREAKS THE FRONT END MAKES NOISE SEEMS LIKE IT NEEDS LUBRICATION OR SOMETHING. I DO NOT FEEL SAFE DRIVING THIS CAR. THE ACURA CORPORATION WILL NOT ADMIT THE PART WAS DEFECTIVE THEY WANT ME TO TAKE IT TO A DEALER TO HAVE IT EVALUATED. (DID THAT) TONY THE DISTRICT CASE MANAGER SAID THEY CAN ONLY TAKE CARE OF THINGS THAT ARE UNDER WARRANTY AND THEY WILL NOT BUY BACK THIS CAR SO THAT I CAN PURCHASE A SAFE CAR. I WILL BE SEEKING ARBITRATION.",VEHICLE,2012,ACURA,RDX
10851890,Honda (American Honda Motor Co.),No,No,0,0,2016-03-23,"2016-03-28T14:45:29Z",5J8TB1H23CA,AIR BAGS,"TAKATA RECALL
I RECEIVED A LETTER DATED MARCH 2016 NOTIFYING ME OF THE RECALL, AND WHEN I CONTACTED MY DEALER, THIS WAS HIS RESPONSE:

KRISTEN,
I UNDERSTAND YOUR SITUATION. MANY PEOPLE ARE GOING THROUGH THE SAME SITUATION. UNFORTUNATELY THERE IS NOT A REMEDY. YOU HAVE OPTIONS. ACURA IS ALLOWING US TO TAKE THESE CARS IN ON TRADE IN FOR ANOTHER VEHICLE IF YOU DON'T FEEL SAFE. WOULD BE HAPPY TO HELP YOU WITH THAT PROCESS.
BESIDES THAT DRIVE IT AS LITTLE AS POSSIBLE. I KNOW THAT NOT WHAT YOU WANT TO HEAR. THERE IS NOTHING THAT CAN BE DONE AT THIS TIME.
THANKS,

NOT ONLY IS THIS COMPLETELY UNACCEPTABLE, BUT ALSO OUTRAGEOUS!  YOU'RE TELLING ME MY VEHICLE COULD UNEXPECTEDLY KILL ME AND MY PASSENGERS, BUT NOTHING IS TO BE DONE FOR SEVERAL MONTHS - UNLESS, OF COURSE, I WANT TO BUY A NEW CAR FROM YOU?!  
PLEASE INFORM ME OF WHAT MY RECOURSE CAN BE, SO I CAN KEEP MY FAMILY SAFE.",VEHICLE,2012,ACURA,RDX
10877082,Honda (American Honda Motor Co.),No,No,0,0,2016-03-02,2016-06-28,5J8TB2H56CA,AIR BAGS,"TL* TAKATA RECALL. THE CONTACT OWNS A 2012 ACURA RDX. THE CONTACT RECEIVED NOTIFICATION OF NHTSA CAMPAIGN NUMBER: 16V061000 (AIR BAGS); HOWEVER, THE PART TO DO THE REPAIR WAS UNAVAILABLE. THE CONTACT STATED THAT THE MANUFACTURER EXCEEDED A REASONABLE AMOUNT OF TIME FOR THE RECALL REPAIR. THE MANUFACTURER WAS NOT MADE AWARE OF THE ISSUE. THE CONTACT HAD NOT EXPERIENCED A FAILURE. VIN TOOL CONFIRMS PARTS NOT AVAILABLE.",VEHICLE,2012,ACURA,RDX
10888250,Honda (American Honda Motor Co.),No,No,0,0,2016-04-07,2016-07-25,5J8TB1H59CA,AIR BAGS,"TL* TAKATA RECALL. THE CONTACT OWNS A 2012 ACURA RDX. THE CONTACT RECEIVED NOTIFICATION OF NHTSA CAMPAIGN NUMBER: 16V061000 (AIR BAGS); HOWEVER, THE PART TO DO THE RECALL REPAIR WAS NOT AVAILABLE. THE CONTACT STATED THAT THE MANUFACTURER EXCEEDED A REASONABLE AMOUNT OF TIME FOR THE RECALL REPAIR. THE MANUFACTURER WAS NOT MADE AWARE OF THE ISSUE. THE CONTACT HAD NOT EXPERIENCED A FAILURE. VIN TOOL CONFIRMS PARTS NOT AVAILABLE....UPDATED 10/11/16 *BF


*CN",VEHICLE,2012,ACURA,RDX
10894504,Honda (American Honda Motor Co.),No,No,0,0,2016-02-03,2016-08-09,5J8TB1H54CA,AIR BAGS,"TL* TAKATA RECALL. THE CONTACT OWNS A 2012 ACURA RDX. THE CONTACT RECEIVED NOTIFICATION OF NHTSA CAMPAIGN NUMBER: 16V061000 (AIR BAGS); HOWEVER, THE PART TO DO THE REPAIR WAS UNAVAILABLE. THE CONTACT STATED THAT THE MANUFACTURER EXCEEDED A REASONABLE AMOUNT OF TIME FOR THE RECALL REPAIR. THE MANUFACTURER WAS MADE AWARE OF THE ISSUE. THE CONTACT HAD NOT EXPERIENCED A FAILURE. VIN TOOL CONFIRMS PARTS NOT AVAILABLE. ",VEHICLE,2012,ACURA,RDX
10897070,Honda (American Honda Motor Co.),No,No,0,0,2016-02-01,2016-08-19,5J8TB1H50CA,AIR BAGS,"TL* THE CONTACT OWNS A 2012 ACURA RDX. THE CONTACT STATED THAT THE RECALL NOTICE FOR NHTSA CAMPAIGN NUMBER: 16V061000 (AIR BAGS) WAS ISSUED IN  FEBRUARY OF 2016. AFTER CONTACTING THE DEALER AND THE MANUFACTURER ON MULTIPLE OCCASIONS, THE CONTACT WAS INFORMED THAT THE PARTS NEEDED TO REPAIR THE VEHICLE WERE STILL NOT AVAILABLE AND NO ESTIMATED TIME FOR RECEIVING THE PARTS COULD BE GIVEN. THE CONTACT HAD NOT EXPERIENCED A FAILURE. ",VEHICLE,2012,ACURA,RDX
