Make,Model,Year,Pros
Acura,ILX,2020,Get Kelley Blue Book® Pricing
Acura,ILX,2019,"If you want a small-luxury sedan that’s big on safety and value, the 2019 ILX fits the bill. It boasts an impressive suite of safety features, and the history of reliability and resale value inherent in the Acura brand."
Acura,ILX,2018,"Acura’s unique combination of performance, luxury, technology and affordability is well represented in the ILX sedan. This is an aspirational sedan that offers a sporty driving experience and premium features. It has also been named a Top Safety Pick by the Insurance Institute for Highway Safety, and its reputation for reliability is solid."
Acura,ILX,2017,"The 2017 Acura ILX offers up a lot of premium content in a car with a premium badge, but without a premium high price. If you're looking for a sedan and want a brand that isn't mainstream, the ILX is worth a look."
Acura,ILX,2016,"The new Acura ILX makes a good case for itself among young up-and-comers looking for high-end features in a premium brand, but who can't quite make the swing to a larger car, or even one of the Acura's European competitors."
Acura,ILX,2015,"If you want a bit more sophistication and a more status-conscious brand, but without spending a lot of money, the 2015 Acura ILX may be right up your alley. The 6-speed manual-transmission model comes with a bigger, more powerful engine, turning the ILX into a compelling luxury sports sedan."
Acura,ILX,2014,"For those looking to perhaps make their first step into a luxury sedan with the levels of image, style, features and fit-and-finish not necessarily found in more common offerings, the 2014 Acura ILX could be the choice."
Acura,ILX,2013,"For the time being, the 2013 Acura ILX has a lock on this little-lux sedan niche, so if you gotta get a diminutive, fine-finished 4-door today, look no further. 
"
Acura,RLX,2019,"Substance means more than status. The top-level 2019 RLX comes with an exceptionally well-engineered drivetrain, delivering impressive performance and fuel efficiency. Both models also provide high levels of equipment for relatively reasonable pricing."
Acura,RLX,2018,"If you prioritize high-tech engineering and value over driving a luxury sedan that everyone immediately recognizes and envies, the 2018 Acura RLX is worth considering. Of the two trims, we recommend the RLX Sport Hybrid, which has standard all-wheel drive, more power, added features and higher fuel efficiency."
Acura,RLX,2017,"If you want a substantial luxury sedan that oozes calm sophistication and includes a wealth of safety and driver-assist technology, all while flying under the radar, put the 2017 Acura RLX on your consideration list."
Acura,RLX,2016,"If you prefer a sure thing to a roll of the dice, Acura’s legendary record for reliability makes spending $50,000-plus on a 2016 Acura RLX luxury sedan about as safe a bet as you can make. Performance fans will love the hybrid’s SH-AWD and its 32-mpg highway fuel economy."
Acura,RLX,2015,"The RLX's subdued styling will attract buyers of a $50,000-plus executive sedan who don't require a flavor-of-the-week automotive fashion statement. Ironically, since the RLX is so new, it can still turn heads. Drivers seeking a cutting-edge hybrid luxury sedan will find one in the new RLX Sport Hybrid SH-AWD."
Acura,RLX,2014,You’ll like the Acura RLX if you prefer subdued styling over typical luxury flash. Where the RLX really shines is from the driver’s seat where the sedan’s skillful suspension tuning delivers a balanced blend of bump suppression and engaging handling.
Acura,RLX Sport Hybrid,2019,"Substance means more than status. The top-level 2019 RLX comes with an exceptionally well-engineered drivetrain, delivering impressive performance and fuel efficiency. Both models also provide high levels of equipment for relatively reasonable pricing."
Acura,RLX Sport Hybrid,2018,"If you prioritize high-tech engineering and value over driving a luxury sedan that everyone immediately recognizes and envies, the 2018 Acura RLX is worth considering. Of the two trims, we recommend the RLX Sport Hybrid, which has standard all-wheel drive, more power, added features and higher fuel efficiency."
Acura,RLX Sport Hybrid,2017,"If you want a substantial luxury sedan that oozes calm sophistication and includes a wealth of safety and driver-assist technology, all while flying under the radar, put the 2017 Acura RLX on your consideration list."
Acura,RLX Sport Hybrid,2016,"If you prefer a sure thing to a roll of the dice, Acura’s legendary record for reliability makes spending $50,000-plus on a 2016 Acura RLX luxury sedan about as safe a bet as you can make. Performance fans will love the hybrid’s SH-AWD and its 32-mpg highway fuel economy."
Acura,RLX Sport Hybrid,2014,You’ll like the Acura RLX if you prefer subdued styling over typical luxury flash. Where the RLX really shines is from the driver’s seat where the sedan’s skillful suspension tuning delivers a balanced blend of bump suppression and engaging handling.
Acura,TLX,2020,"You like the good things in life, but refuse to pay through the nose. The 2020 TLX starts at $33,995. Look at the main rivals, then option them up to the TLX’s level of standard equipment, including a full array of safety features, and the price difference becomes almost unjustifiable."
Acura,TLX,2019,"If you want a smaller luxury sedan that packs big value, check out the 2019 Acura TLX. It undercuts rivals with a sub-$34,000 starting price yet also packs a long list of standard tech and safety features that includes automatic emergency braking, adaptive cruise control, and Apple CarPlay integration."
Acura,TLX,2018,"The new TLX is one of the smartest investments in the segment, thanks to its mix of performance, technology and resale value. It also finally has the good looks that show off all the pluses that this car has to offer."
Acura,TLX,2017,"If you measure a good investment not by how impressed your friends will be but rather by how satisfied you are with the purchase, the 2017 Acura TLX sedan was built with you in mind. For the money, it’s hard to beat the TLX’s combination of performance, technology and resale."
Acura,TLX,2016,"If you measure your automotive satisfaction not by the badge on the nose but by the return on investment in the driving experience, by the advanced technologies that make traveling easier, by the touch and sight and calming peace of impeccable execution, you should consider the exquisite Acura TLX."
