make,model,off_road,family,fun,luxury
Acura,Integra,False,False,False,True
Acura,Legend,False,False,False,True
Acura,NSX,False,False,True,True
Acura,Vigor,False,False,False,True
Alfa Romeo,164,False,False,False,True
Alfa Romeo,Spider,False,False,False,True
Audi,100,False,False,False,True
Audi,80,False,False,False,True
Audi,Quattro,False,False,False,True
Audi,S4,False,False,True,True
BMW,3 Series,False,True,True,True
BMW,5 Series,False,False,True,True
BMW,7 Series,False,False,True,True
BMW,8 Series,False,False,True,True
BMW,M5,False,False,False,True
Buick,Century,False,False,False,False
Buick,LeSabre,False,False,False,False
Buick,Park Avenue,False,False,False,False
Buick,Regal,False,False,False,False
Buick,Riviera,False,False,False,False
Buick,Roadmaster,False,False,False,False
Buick,Skylark,False,False,False,False
Cadillac,Allante,False,False,False,True
Cadillac,Brougham,False,False,False,True
Cadillac,DeVille,False,False,False,True
Cadillac,Eldorado,False,False,False,True
Cadillac,Fleetwood,False,False,False,True
Cadillac,Seville,False,False,False,True
Chevrolet,1500 Extended Cab,False,False,False,False
Chevrolet,1500 Regular Cab,False,False,False,False
Chevrolet,2500 Extended Cab,False,False,False,False
Chevrolet,2500 Regular Cab,False,False,False,False
Chevrolet,3500 Crew Cab,False,False,False,False
Chevrolet,3500 Extended Cab,False,False,False,False
Chevrolet,3500 Regular Cab,False,False,False,False
Chevrolet,APV Cargo,False,False,False,False
Chevrolet,Astro Cargo,False,False,False,False
Chevrolet,Astro Passenger,False,False,False,False
Chevrolet,Beretta,False,False,False,False
Chevrolet,Blazer,False,False,False,False
Chevrolet,Camaro,False,False,True,False
Chevrolet,Caprice,False,False,False,False
Chevrolet,Cavalier,False,False,False,False
Chevrolet,Corsica,False,False,False,False
Chevrolet,Corvette,False,False,True,False
Chevrolet,G-Series G10,False,False,False,False
Chevrolet,G-Series G20,False,False,False,False
Chevrolet,G-Series G30,False,False,False,False
Chevrolet,Lumina,False,False,False,False
Chevrolet,Lumina APV,False,False,False,False
Chevrolet,S10 Blazer,False,False,False,False
Chevrolet,S10 Extended Cab,False,False,False,False
Chevrolet,S10 Regular Cab,False,False,False,False
Chevrolet,Sportvan G10,False,False,False,False
Chevrolet,Sportvan G20,False,False,False,False
Chevrolet,Sportvan G30,False,False,False,False
Chevrolet,Suburban 1500,False,False,False,False
Chevrolet,Suburban 2500,False,False,False,False
Chrysler,Fifth Ave,False,False,False,True
Chrysler,Imperial,False,False,False,True
Chrysler,LeBaron,False,False,False,True
Chrysler,New Yorker,False,False,False,True
Chrysler,Town & Country,False,False,False,True
Daihatsu,Charade,False,False,False,False
Daihatsu,Rocky,False,False,False,False
Dodge,Caravan Cargo,False,False,False,False
Dodge,Caravan Passenger,False,False,False,False
Dodge,Colt,False,False,False,False
Dodge,D150 Club Cab,False,False,False,False
Dodge,D150 Regular Cab,False,False,False,False
Dodge,D250 Club Cab,False,False,False,False
Dodge,D250 Regular Cab,False,False,False,False
Dodge,D350 Club Cab,False,False,False,False
Dodge,D350 Regular Cab,False,False,False,False
Dodge,Dakota Club Cab,False,False,False,False
Dodge,Dakota Regular Cab,False,False,False,False
Dodge,Daytona,False,False,False,False
Dodge,Dynasty,False,False,False,False
Dodge,Grand Caravan Passenger,False,True,False,False
Dodge,Monaco,False,False,False,False
Dodge,Ram 50 Regular Cab,False,False,False,False
Dodge,Ram Van B150,False,False,False,False
Dodge,Ram Van B250,False,False,False,False
Dodge,Ram Van B350,False,False,False,False
Dodge,Ram Wagon B150,False,False,False,False
Dodge,Ram Wagon B250,False,False,False,False
Dodge,Ram Wagon B350,False,False,False,False
Dodge,Ramcharger,False,False,False,False
Dodge,Shadow,False,False,False,False
Dodge,Spirit,False,False,False,False
Dodge,Stealth,False,False,False,False
Dodge,Viper,False,False,False,False
Eagle,Premier,False,False,False,False
Eagle,Summit,False,False,False,False
Eagle,Talon,False,False,False,False
Ford,Aerostar Cargo,False,False,False,False
Ford,Aerostar Passenger,False,False,False,False
Ford,Bronco,False,False,False,False
Ford,Club Wagon,False,False,False,False
Ford,Crown Victoria,False,False,False,False
Ford,Econoline E150 Cargo,False,False,False,False
Ford,Econoline E250 Cargo,False,False,False,False
Ford,Econoline E350 Cargo,False,False,False,False
Ford,Escort,False,False,False,False
Ford,Explorer,True,True,True,False
Ford,F150 Regular Cab,False,True,False,False
Ford,F150 Super Cab,False,True,False,False
Ford,F250 Regular Cab,False,False,False,False
Ford,F250 Super Cab,False,False,False,False
Ford,F350 Crew Cab,False,False,False,False
Ford,F350 Regular Cab,False,False,False,False
Ford,F350 Super Cab,False,False,False,False
Ford,Festiva,False,False,False,False
Ford,Mustang,False,False,True,False
Ford,Probe,False,False,False,False
Ford,Ranger Regular Cab,False,False,False,False
Ford,Ranger Super Cab,False,False,False,False
Ford,Taurus,False,True,True,False
Ford,Tempo,False,False,False,False
Ford,Thunderbird,False,False,False,False
Geo,Metro,False,False,False,False
Geo,Prizm,False,False,False,False
Geo,Storm,False,False,False,False
Geo,Tracker,False,False,False,False
GMC,1500 Club Coupe,False,False,False,False
GMC,1500 Regular Cab,False,False,False,False
GMC,2500 Club Coupe,False,False,False,False
GMC,2500 Regular Cab,False,False,False,False
GMC,3500 Club Coupe,False,False,False,False
GMC,3500 Crew Cab,False,False,False,False
GMC,3500 Regular Cab,False,False,False,False
GMC,Jimmy,False,False,False,False
GMC,Rally Wagon 1500,False,False,False,False
GMC,Rally Wagon 2500,False,False,False,False
GMC,Rally Wagon 3500,False,False,False,False
GMC,Safari Cargo,False,False,False,False
GMC,Safari Passenger,False,False,False,False
GMC,Sonoma Club Cab,False,False,False,False
GMC,Sonoma Regular Cab,False,False,False,False
GMC,Suburban 1500,False,False,False,False
GMC,Suburban 2500,False,False,False,False
GMC,Vandura 1500,False,False,False,False
GMC,Vandura 2500,False,False,False,False
GMC,Vandura 3500,False,False,False,False
GMC,Yukon,False,True,False,False
Honda,Accord,False,True,True,False
Honda,Civic,False,False,True,False
Honda,Prelude,False,False,False,False
Hyundai,Elantra,False,False,True,False
