,Zip,City,State,Latitude,Longitude,Timezone,Daylightsavingstimeflag
0,71937,Cove,AR,34.398483,-94.39398,-6,1
1,72044,Edgemont,AR,35.624351000000004,-92.16056,-6,1
2,56171,Sherburn,MN,43.660847,-94.74356999999999,-6,1
3,49430,Lamont,MI,43.010337,-85.89754,-5,1
4,52585,Richland,IA,41.194129,-91.98026999999999,-6,1
5,47520,Cannelton,IN,37.934311,-86.67820999999999,-5,0
6,49464,Zeeland,MI,42.829252000000004,-85.99620999999999,-5,1
7,49919,Covington,MI,46.559834,-88.52201,-5,1
8,52401,Cedar Rapids,IA,41.97545,-91.65912,-6,1
9,35979,Higdon,AL,34.831241999999996,-85.61564,-6,1
10,36350,Midland City,AL,31.319083000000003,-85.48718000000001,-6,1
11,38401,Columbia,TN,35.619784,-87.03565,-6,1
12,41065,Muses Mills,KY,38.3481,-83.718626,-5,1
13,55302,Annandale,MN,45.246631,-94.11692,-6,1
14,29607,Greenville,SC,34.825592,-82.34099,-5,1
15,31150,Atlanta,GA,33.844371,-84.47405,-5,1
16,31646,Saint George,GA,30.518903,-82.08063,-5,1
17,31826,Shiloh,GA,32.803518,-84.69384000000001,-5,1
18,17932,Frackville,PA,40.649109,-76.503339,-5,1
19,18947,Pipersville,PA,40.426390999999995,-75.11842,-5,1
20,20227,Washington,DC,38.893311,-77.014647,-5,1
21,14043,Depew,NY,42.904958,-78.7006,-5,1
22,15278,Pittsburgh,PA,40.434436,-80.024817,-5,1
23,15482,Star Junction,PA,40.062849,-79.76338,-5,1
24,33446,Delray Beach,FL,26.452472999999998,-80.16509,-5,1
25,27915,Avon,NC,35.354252,-75.50417,-5,1
26,23328,Chesapeake,VA,36.7085,-76.278531,-5,1
27,24062,Blacksburg,VA,37.174227,-80.395698,-5,1
28,26253,Beverly,WV,38.827205,-79.89057,-5,1
29,2472,Watertown,MA,42.371296,-71.18196,-5,1
30,7309,Jersey City,NJ,40.73276,-74.075485,-5,1
31,623,Cabo Rojo,PR,18.08643,-67.15222,-4,0
32,52163,Protivin,IA,43.216609999999996,-92.09219,-6,1
33,52216,Clarence,IA,41.888182,-91.04567,-6,1
34,53031,Hingham,WI,43.639395,-87.915705,-6,1
35,60651,Chicago,IL,41.901485,-87.74055,-6,1
36,62090,Venice,IL,38.67065,-90.17052,-6,1
37,62420,Casey,IL,39.299447,-87.99863,-6,1
38,64503,Saint Joseph,MO,39.741794,-94.83237,-6,1
39,65325,Cole Camp,MO,38.451021000000004,-93.19156,-6,1
40,65638,Drury,MO,36.851944,-92.33081,-6,1
41,74801,Shawnee,OK,35.327341,-96.93544,-6,1
42,75475,Randolph,TX,33.485315,-96.25525,-6,1
43,75757,Bullard,TX,32.136787,-95.3671,-6,1
44,63179,Saint Louis,MO,38.6531,-90.243462,-6,1
45,63436,Center,MO,39.501697,-91.5367,-6,1
46,57440,Frankfort,SD,44.857069,-98.27190999999999,-6,1
47,72112,Newport,AR,35.586065000000005,-91.24695,-6,1
48,72714,Bella Vista,AR,36.458040999999994,-94.23550999999999,-6,1
49,99671,Stebbins,AK,63.51189300000001,-162.27463,-9,1
50,97304,Salem,OR,44.970181,-123.08033,-8,1
51,97414,Broadbent,OR,42.977978,-124.1716,-8,1
52,81148,Romeo,CO,37.171583,-105.98648,-7,1
53,81423,Norwood,CO,38.082231,-108.2586,-7,1
54,81505,Grand Junction,CO,39.112514000000004,-108.60506000000001,-7,1
55,81624,Collbran,CO,39.220166,-107.93413999999999,-7,1
56,82718,Gillette,WY,43.939968,-105.52445,-7,1
57,89317,Lund,NV,38.835421000000004,-115.02628,-8,1
58,92232,Calexico,CA,33.026203,-115.284581,-8,1
59,93227,Goshen,CA,36.357151,-119.425371,-8,1
60,93234,Huron,CA,36.209815,-120.0847,-8,1
61,93529,June Lake,CA,37.765218,-119.07768999999999,-8,1
62,93761,Fresno,CA,36.746375,-119.63965800000001,-8,1
63,94931,Cotati,CA,38.328614,-122.71043999999999,-8,1
64,95322,Gustine,CA,37.187494,-121.03232,-8,1
65,30334,Atlanta,GA,33.702657,-84.439127,-5,1
66,36879,Waverly,AL,32.733511,-85.55322,-6,1
67,38017,Collierville,TN,35.057224,-89.67416999999999,-6,1
68,43984,New Rumley,OH,40.296490000000006,-81.102502,-5,1
69,46787,South Whitley,IN,41.080236,-85.62796,-5,0
70,31606,Valdosta,GA,30.802411,-83.19624,-5,1
71,55992,Zumbrota,MN,44.297157,-92.68312,-6,1
72,13827,Owego,NY,42.120274,-76.25874,-5,1
73,14739,Friendship,NY,42.192384000000004,-78.14308,-5,1
74,15227,Pittsburgh,PA,40.377869,-79.97516,-5,1
75,16877,Warriors Mark,PA,40.721787,-78.08561,-5,1
76,31732,Cedar Springs,GA,31.169794,-85.0557,-5,1
77,32621,Bronson,FL,29.447069,-82.60452,-5,1
78,21634,Fishing Creek,MD,38.288409,-76.20146,-5,1
79,24008,Roanoke,VA,37.274175,-79.95786,-5,1
80,25645,Stirrat,WV,37.833203999999995,-81.902401,-5,1
81,34447,Homosassa Springs,FL,28.804910999999997,-82.574264,-5,1
82,35004,Moody,AL,33.606379,-86.50249000000001,-6,1
83,27834,Greenville,NC,35.626653000000005,-77.37895999999999,-5,1
84,28373,Pinebluff,NC,35.100144,-79.47979000000001,-5,1
85,11703,North Babylon,NY,40.733398,-73.32257,-5,1
86,2909,Providence,RI,41.8191,-71.44775,-5,1
87,4617,Brooksville,ME,44.363587,-68.74399,-5,1
88,7961,Morristown,NJ,40.77975,-74.442797,-5,1
89,767,Yabucoa,PR,18.072751999999998,-65.89703,-4,0
90,803,St Thomas,VI,18.322285,-64.96371500000001,-4,0
91,43681,Toledo,OH,41.686778000000004,-83.43943,-5,1
92,36744,Greensboro,AL,32.703528999999996,-87.60177,-6,1
93,37616,Afton,TN,36.218863,-82.74704,-5,1
94,38602,Arkabutla,MS,34.686271999999995,-90.106756,-6,1
95,50519,Bode,IA,42.884723,-94.27644000000001,-6,1
96,40081,Crestwood,KY,38.3386,-85.492459,-5,1
97,30444,East Point,GA,33.696073,-84.450276,-5,1
98,90038,Los Angeles,CA,34.089459000000005,-118.3285,-8,1
99,90063,Los Angeles,CA,34.045161,-118.1865,-8,1
100,92709,Irvine,CA,33.640302,-117.769442,-8,1
101,93492,Morro Bay,CA,35.372861,-120.85939099999999,-8,1
102,94175,San Francisco,CA,37.784827,-122.727802,-8,1
103,84530,La Sal,UT,38.236886,-109.15445,-7,1
104,95592,Vallejo,CA,38.098737,-122.271251,-8,1
105,38138,Germantown,TN,35.088885,-89.80677,-6,1
106,40298,Louisville,KY,38.188962,-85.676819,-5,1
107,56517,Beltrami,MN,47.55171,-96.53492,-6,1
108,57841,Carlisle,SD,45.632378,-98.704197,-6,1
109,58323,Calvin,ND,48.849591,-98.90525,-6,1
110,58533,Elgin,ND,46.408171,-101.82853,-7,1
111,58771,Plaza,ND,48.073997999999996,-101.9763,-6,1
112,58793,Westhope,ND,48.871815000000005,-101.04936,-6,1
113,53171,Somers,WI,42.642298,-87.903161,-6,1
114,53189,Waukesha,WI,42.967394,-88.264,-6,1
115,56091,Waldorf,MN,43.930363,-93.69492,-6,1
116,43733,Derwent,OH,39.923615999999996,-81.542965,-5,1
117,47613,Elberfeld,IN,38.170645,-87.42886,-6,1
118,51049,Quimby,IA,42.626822,-95.61438000000001,-6,1
119,51651,Shambaugh,IA,40.65747,-95.024969,-6,1
120,53014,Chilton,WI,44.033215000000006,-88.17626,-6,1
121,43334,Marengo,OH,40.399648,-82.80783000000001,-5,1
122,62206,East Saint Louis,IL,38.564451,-90.1628,-6,1
123,64155,Kansas City,MO,39.276828,-94.57344,-6,1
124,48215,Detroit,MI,42.378287,-82.95243,-5,1
125,30531,Cornelia,GA,34.514215,-83.54118000000001,-5,1
126,20521,Washington,DC,38.893311,-77.014647,-5,1
127,20557,Washington,DC,38.887405,-77.004663,-5,1
128,23176,Wake,VA,37.571789,-76.41631,-5,1
129,16830,Clearfield,PA,41.026239000000004,-78.43838000000001,-5,1
130,16876,Wallaceton,PA,40.960106,-78.28886,-5,1
131,11707,West Babylon,NY,40.922326,-72.637078,-5,1
132,12442,Hunter,NY,42.222061,-74.23418000000001,-5,1
133,13334,Eaton,NY,42.83917,-75.65482,-5,1
134,13626,Copenhagen,NY,43.859025,-75.72941999999999,-5,1
135,24620,Hurley,VA,37.409883,-82.02317,-5,1
136,25521,Griffithsville,WV,38.238045,-81.98991,-5,1
137,34489,Silver Springs,FL,29.215153000000004,-82.097163,-5,1
138,17866,Coal Township,PA,40.791328,-76.56393,-5,1
139,17882,Troxelville,PA,40.801614,-77.20537,-5,1
140,18466,Tobyhanna,PA,41.19012,-75.36779,-5,1
141,19173,Philadelphia,PA,40.001811,-75.11787,-5,1
142,28039,East Spencer,NC,35.677889,-80.44593,-5,1
143,28206,Charlotte,NC,35.248292,-80.82748000000001,-5,1
144,28282,Charlotte,NC,35.224242,-80.84474300000001,-5,1
145,96778,Pahoa,HI,19.494625,-154.9266,-10,0
146,97298,Portland,OR,45.548615999999996,-123.114725,-8,1
147,97538,Selma,OR,42.259678,-123.54778,-8,1
148,98520,Aberdeen,WA,46.972965,-123.81923,-8,1
149,98579,Rochester,WA,46.814438,-123.08646999999999,-8,1
150,93701,Fresno,CA,36.749444,-119.78872,-8,1
151,94295,Sacramento,CA,38.377410999999995,-121.444429,-8,1
