,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
0,2020,Acura,ILX,78,77,72,77
1,2020,Acura,MDX,81,79,69,78
2,2020,Acura,RDX,79,73,77,77
3,2020,Acura,TLX,83,83,75,74
4,2020,Audi,Q5,84,80,85,75
5,2020,BMW,2 Series,87,88,84,90
6,2020,BMW,4 Series,85,87,78,76
7,2020,BMW,5 Series,85,85,82,71
8,2020,BMW,X3,83,82,83,73
9,2020,BMW,X4,89,89,92,74
10,2020,BMW,X5,82,72,86,74
11,2020,Buick,Enclave,83,85,82,76
12,2020,Buick,Encore,80,87,80,81
13,2020,Buick,Envision,83,89,82,75
14,2020,Cadillac,CT6,85,78,81,69
15,2020,Cadillac,Escalade,89,79,81,79
16,2020,Cadillac,XT4,83,73,78,85
17,2020,Chevrolet,Blazer,90,84,95,88
18,2020,Chevrolet,Camaro,81,79,83,81
19,2020,Chevrolet,COLORADO REGULAR CAB,76,77,71,85
20,2020,Chevrolet,Equinox,83,86,84,82
21,2020,Chevrolet,Impala,85,83,83,80
22,2020,Chevrolet,Malibu,82,85,77,84
23,2020,Chevrolet,SILVERADO 1500 EXTENDED CAB,84,81,76,95
24,2020,Chevrolet,Sonic,76,80,82,76
25,2020,Chevrolet,Spark,71,80,72,71
26,2020,Chevrolet,Suburban,83,81,77,86
27,2020,Chevrolet,Tahoe,86,85,76,92
28,2020,Chevrolet,Traverse,83,82,83,81
29,2020,Chevrolet,Trax,73,79,73,81
30,2020,Chrysler,Pacifica,71,70,78,73
31,2020,Dodge,Durango,80,77,88,88
32,2020,Ford,Edge,78,74,83,83
33,2020,Ford,Expedition,83,79,89,83
34,2020,Ford,F150 (HERITAGE) SUPER CAB,83,80,82,94
35,2020,Ford,Fusion,78,81,79,81
36,2020,Ford,Mustang,76,73,82,81
37,2020,Ford,RANGER REGULAR CAB,78,77,81,78
38,2020,Genesis,G70,86,86,85,73
39,2020,GMC,Acadia,79,80,78,76
40,2020,GMC,CANYON CREW CAB,74,73,69,85
41,2020,GMC,SIERRA 1500 DOUBLE CAB,84,77,82,94
42,2020,GMC,Terrain,79,77,86,81
43,2020,GMC,Yukon,83,79,78,88
44,2020,Honda,Insight,74,78,79,74
45,2020,Honda,Odyssey,77,77,82,82
46,2020,Honda,Pilot,79,84,82,77
47,2020,Hyundai,Accent,73,83,80,72
48,2020,Hyundai,Elantra,77,84,81,80
49,2020,Hyundai,Kona,77,84,86,78
50,2020,Hyundai,Santa Fe,80,85,81,82
51,2020,Hyundai,Tucson,78,85,85,79
52,2020,Hyundai,Veloster,74,76,81,76
53,2020,INFINITI,Q50,81,77,69,77
54,2020,INFINITI,QX50,80,72,73,75
55,2020,INFINITI,QX60,84,80,69,83
56,2020,Jaguar,I-PACE,79,67,90,73
57,2020,Jeep,Cherokee,74,75,83,86
58,2020,Jeep,Compass,69,72,82,80
59,2020,Jeep,Grand Cherokee,79,80,85,84
60,2020,Jeep,Wrangler,70,65,82,88
61,2020,Kia,Forte,80,85,86,79
62,2020,Kia,Optima,80,83,81,83
63,2020,Kia,Rio,75,87,82,70
64,2020,Kia,Sedona,74,82,71,76
65,2020,Kia,Sorento,77,82,77,79
66,2020,Kia,Sportage,79,87,88,79
67,2020,Land Rover,Range Rover,76,68,83,76
68,2020,Land Rover,Range Rover Sport,72,62,81,77
69,2020,Land Rover,Range Rover Velar,65,53,79,73
70,2020,Lexus,ES,88,87,79,79
71,2020,Lexus,GS,91,89,80,79
72,2020,Lexus,GX,86,84,69,83
73,2020,Lexus,IS,88,84,79,83
74,2020,Lexus,NX,88,88,77,77
75,2020,Lincoln,MKZ,85,84,78,75
76,2020,Lincoln,Nautilus,89,83,80,82
77,2020,Lincoln,Navigator,91,82,89,81
78,2020,Mercedes-Benz,C-Class,89,82,89,86
79,2020,Mercedes-Benz,GLA,81,79,78,75
80,2020,Mercedes-Benz,GLC,84,83,76,73
81,2020,Mercedes-Benz,S-Class,87,81,80,71
82,2020,Mitsubishi,Outlander,75,76,80,80
83,2020,Nissan,Altima,81,83,83,81
84,2020,Nissan,Armada,83,82,85,78
85,2020,Nissan,Maxima,86,85,92,75
86,2020,Nissan,Murano,83,85,87,75
87,2020,Nissan,Pathfinder,79,83,79,79
88,2020,Nissan,Rogue,80,84,82,82
89,2020,Porsche,Cayenne,90,79,87,77
90,2020,Subaru,Ascent,78,74,82,81
91,2020,Subaru,Forester,77,77,84,83
92,2020,Subaru,Impreza,69,74,69,80
93,2020,Subaru,WRX,75,72,86,79
94,2020,Toyota,4Runner,83,85,81,90
95,2020,Toyota,Avalon,86,88,82,82
96,2020,Toyota,C-HR,79,82,88,81
97,2020,Toyota,Camry,85,88,82,86
98,2020,Toyota,Prius,76,81,75,86
99,2020,Toyota,RAV4,79,80,82,88
100,2020,Toyota,Sequoia,84,88,76,82
101,2020,Toyota,Sienna,79,81,76,85
102,2020,Volkswagen,Tiguan,78,81,85,79
103,2020,Volvo,S60,79,70,87,75
104,2020,Volvo,XC40,83,77,90,74
105,2020,Volvo,XC60,82,76,88,78
106,2019,Acura,ILX,78,77,72,77
107,2019,Acura,MDX,81,79,69,78
108,2019,Acura,RDX,79,73,77,77
109,2019,Acura,TLX,83,83,75,74
110,2019,Alfa Romeo,Giulia,75,75,71,74
111,2019,Alfa Romeo,Stelvio,76,73,76,74
112,2019,Audi,A4,84,83,82,72
113,2019,Audi,A4 allroad,84,83,82,72
116,2019,Audi,A5 SPORT,83,79,81,74
117,2019,Audi,A6,81,72,82,73
118,2019,Audi,A7,90,85,91,74
119,2019,Audi,Q5,84,80,85,75
120,2019,Audi,Q7,84,78,81,77
121,2019,Audi,Q8,89,79,87,80
122,2019,BMW,2 Series,87,88,84,90
123,2019,BMW,4 Series,85,87,78,76
124,2019,BMW,5 Series,85,85,82,71
125,2019,BMW,7 Series,88,89,82,66
126,2019,BMW,X3,83,82,83,73
127,2019,BMW,X4,89,89,92,74
128,2019,BMW,X5,82,72,86,74
129,2019,Buick,Enclave,83,85,82,76
130,2019,Buick,Encore,80,87,80,81
131,2019,Buick,Envision,83,89,82,75
132,2019,Buick,LaCrosse,84,85,74,78
133,2019,Cadillac,CT6,85,78,81,69
134,2019,Cadillac,CTS,82,73,74,76
135,2019,Cadillac,CTS-V,82,73,74,76
136,2019,Cadillac,Escalade,89,79,81,79
137,2019,Cadillac,Escalade ESV,89,79,81,79
138,2019,Cadillac,XT4,83,73,78,85
139,2019,Cadillac,XT5,84,79,74,75
140,2019,Chevrolet,Blazer,90,84,95,88
141,2019,Chevrolet,Bolt EV,72,74,78,75
142,2019,Chevrolet,Camaro,81,79,83,81
143,2019,Chevrolet,COLORADO REGULAR CAB,76,77,71,85
144,2019,Chevrolet,Corvette,84,82,72,91
145,2019,Chevrolet,Cruze,82,84,82,85
146,2019,Chevrolet,Equinox,83,86,84,82
147,2019,Chevrolet,Impala,85,83,83,80
148,2019,Chevrolet,Malibu,82,85,77,84
149,2019,Chevrolet,SILVERADO 1500 EXTENDED CAB,84,81,76,95
150,2019,Chevrolet,SILVERADO 1500 LD DOUBLE CAB,84,81,76,95
151,2019,Chevrolet,SILVERADO 3500 HD DOUBLE CAB,85,87,70,95
152,2019,Chevrolet,Sonic,76,80,82,76
153,2019,Chevrolet,Spark,71,80,72,71
154,2019,Chevrolet,Suburban,83,81,77,86
155,2019,Chevrolet,Tahoe,86,85,76,92
156,2019,Chevrolet,Traverse,83,82,83,81
157,2019,Chevrolet,Trax,73,79,73,81
158,2019,Chevrolet,Volt,73,78,71,75
159,2019,Chrysler,300,79,79,82,81
160,2019,Chrysler,Pacifica,71,70,78,73
161,2019,Dodge,Challenger,80,76,87,94
162,2019,Dodge,Charger,80,75,91,83
163,2019,Dodge,Durango,80,77,88,88
164,2019,Dodge,GRAND CARAVAN PASSENGER,66,71,65,79
165,2019,Ford,Edge,78,74,83,83
166,2019,Ford,Escape,77,80,82,82
167,2019,Ford,Expedition,83,79,89,83
168,2019,Ford,Expedition Max,83,79,89,83
169,2019,Ford,Explorer,78,78,80,82
170,2019,Ford,F150 (HERITAGE) SUPER CAB,83,80,82,94
171,2019,Ford,Fiesta,66,73,71,74
172,2019,Ford,Flex,79,81,81,79
173,2019,Ford,Fusion,78,81,79,81
174,2019,Ford,Fusion Energi,78,81,79,81
175,2019,Ford,FUSION ENERGI,78,81,79,81
176,2019,Ford,FUSION,78,81,79,81
177,2019,Ford,Mustang,76,73,82,81
178,2019,Ford,RANGER REGULAR CAB,78,77,81,78
179,2019,Ford,F250 CREW CAB,82,80,78,94
180,2019,Ford,F350 SUPER CAB,82,80,78,94
181,2019,Ford,ECONOLINE E250 CARGO,82,80,78,94
182,2019,Ford,Taurus,77,78,73,76
183,2019,Ford,TRANSIT 350 VAN,61,62,63,77
184,2019,Ford,TRANSIT CONNECT PASSENGER,61,62,63,77
185,2019,Ford,TRANSIT 150 WAGON,61,62,63,77
186,2019,Ford,TRANSIT 150 VAN,61,62,63,77
187,2019,Genesis,G70,86,86,85,73
188,2019,Genesis,G80,84,83,82,76
189,2019,GMC,Acadia,79,80,78,76
190,2019,GMC,CANYON CREW CAB,74,73,69,85
191,2019,GMC,SIERRA 1500 DOUBLE CAB,84,77,82,94
192,2019,GMC,SIERRA 1500 LIMITED DOUBLE CAB,84,77,82,94
193,2019,GMC,SIERRA 2500 HD CREW CAB,84,80,76,95
194,2019,GMC,SIERRA 3500 HD REGULAR CAB,84,80,76,95
195,2019,GMC,Terrain,79,77,86,81
