,Year,Make,Model,Overall,Quality_And_Reliability,Driving_Experience,Resale
0,2020,ACURA,ILX,78,77,72,77
1,2020,ACURA,MDX,81,79,69,78
2,2020,ACURA,RDX,79,73,77,77
3,2020,ACURA,TLX,83,83,75,74
4,2020,AUDI,Q5,84,80,85,75
5,2020,BMW,2 SERIES,87,88,84,90
6,2020,BMW,4 SERIES,85,87,78,76
7,2020,BMW,5 SERIES,85,85,82,71
8,2020,BMW,X3,83,82,83,73
9,2020,BMW,X4,89,89,92,74
10,2020,BMW,X5,82,72,86,74
11,2020,BUICK,ENCLAVE,83,85,82,76
12,2020,BUICK,ENCORE,80,87,80,81
13,2020,BUICK,ENVISION,83,89,82,75
14,2020,CADILLAC,CT6,85,78,81,69
15,2020,CADILLAC,ESCALADE,89,79,81,79
16,2020,CADILLAC,XT4,83,73,78,85
17,2020,CHEVROLET,BLAZER,90,84,95,88
18,2020,CHEVROLET,CAMARO,81,79,83,81
19,2020,CHEVROLET,COLORADO REGULAR CAB,76,77,71,85
20,2020,CHEVROLET,EQUINOX,83,86,84,82
21,2020,CHEVROLET,IMPALA,85,83,83,80
22,2020,CHEVROLET,MALIBU,82,85,77,84
23,2020,CHEVROLET,SILVERADO 1500 EXTENDED CAB,84,81,76,95
24,2020,CHEVROLET,SONIC,76,80,82,76
25,2020,CHEVROLET,SPARK,71,80,72,71
26,2020,CHEVROLET,SUBURBAN,83,81,77,86
27,2020,CHEVROLET,TAHOE,86,85,76,92
28,2020,CHEVROLET,TRAVERSE,83,82,83,81
29,2020,CHEVROLET,TRAX,73,79,73,81
30,2020,CHRYSLER,PACIFICA,71,70,78,73
31,2020,DODGE,DURANGO,80,77,88,88
32,2020,FORD,EDGE,78,74,83,83
33,2020,FORD,EXPEDITION,83,79,89,83
34,2020,FORD,F150 (HERITAGE) SUPER CAB,83,80,82,94
35,2020,FORD,FUSION,78,81,79,81
36,2020,FORD,MUSTANG,76,73,82,81
37,2020,FORD,RANGER REGULAR CAB,78,77,81,78
38,2020,GENESIS,G70,86,86,85,73
39,2020,GMC,ACADIA,79,80,78,76
40,2020,GMC,CANYON CREW CAB,74,73,69,85
41,2020,GMC,SIERRA 1500 DOUBLE CAB,84,77,82,94
42,2020,GMC,TERRAIN,79,77,86,81
43,2020,GMC,YUKON,83,79,78,88
44,2020,HONDA,INSIGHT,74,78,79,74
45,2020,HONDA,ODYSSEY,77,77,82,82
46,2020,HONDA,PILOT,79,84,82,77
47,2020,HYUNDAI,ACCENT,73,83,80,72
48,2020,HYUNDAI,ELANTRA,77,84,81,80
49,2020,HYUNDAI,KONA,77,84,86,78
50,2020,HYUNDAI,SANTA FE,80,85,81,82
51,2020,HYUNDAI,TUCSON,78,85,85,79
52,2020,HYUNDAI,VELOSTER,74,76,81,76
53,2020,INFINITI,Q50,81,77,69,77
54,2020,INFINITI,QX50,80,72,73,75
55,2020,INFINITI,QX60,84,80,69,83
56,2020,JAGUAR,I-PACE,79,67,90,73
57,2020,JEEP,CHEROKEE,74,75,83,86
58,2020,JEEP,COMPASS,69,72,82,80
59,2020,JEEP,GRAND CHEROKEE,79,80,85,84
60,2020,JEEP,WRANGLER,70,65,82,88
61,2020,KIA,FORTE,80,85,86,79
62,2020,KIA,OPTIMA,80,83,81,83
63,2020,KIA,RIO,75,87,82,70
64,2020,KIA,SEDONA,74,82,71,76
65,2020,KIA,SORENTO,77,82,77,79
66,2020,KIA,SPORTAGE,79,87,88,79
67,2020,LAND ROVER,RANGE ROVER,76,68,83,76
68,2020,LAND ROVER,RANGE ROVER SPORT,72,62,81,77
69,2020,LAND ROVER,RANGE ROVER VELAR,65,53,79,73
70,2020,LEXUS,ES,88,87,79,79
71,2020,LEXUS,GS,91,89,80,79
72,2020,LEXUS,GX,86,84,69,83
73,2020,LEXUS,IS,88,84,79,83
74,2020,LEXUS,NX,88,88,77,77
75,2020,LINCOLN,MKZ,85,84,78,75
76,2020,LINCOLN,NAUTILUS,89,83,80,82
77,2020,LINCOLN,NAVIGATOR,91,82,89,81
78,2020,MERCEDES-BENZ,C-CLASS,89,82,89,86
79,2020,MERCEDES-BENZ,GLA,81,79,78,75
80,2020,MERCEDES-BENZ,GLC,84,83,76,73
81,2020,MERCEDES-BENZ,S-CLASS,87,81,80,71
82,2020,MITSUBISHI,OUTLANDER,75,76,80,80
83,2020,NISSAN,ALTIMA,81,83,83,81
84,2020,NISSAN,ARMADA,83,82,85,78
85,2020,NISSAN,MAXIMA,86,85,92,75
86,2020,NISSAN,MURANO,83,85,87,75
87,2020,NISSAN,PATHFINDER,79,83,79,79
88,2020,NISSAN,ROGUE,80,84,82,82
89,2020,PORSCHE,CAYENNE,90,79,87,77
90,2020,SUBARU,ASCENT,78,74,82,81
91,2020,SUBARU,FORESTER,77,77,84,83
92,2020,SUBARU,IMPREZA,69,74,69,80
93,2020,SUBARU,WRX,75,72,86,79
94,2020,TOYOTA,4RUNNER,83,85,81,90
95,2020,TOYOTA,AVALON,86,88,82,82
96,2020,TOYOTA,C-HR,79,82,88,81
97,2020,TOYOTA,CAMRY,85,88,82,86
98,2020,TOYOTA,PRIUS,76,81,75,86
99,2020,TOYOTA,RAV4,79,80,82,88
100,2020,TOYOTA,SEQUOIA,84,88,76,82
101,2020,TOYOTA,SIENNA,79,81,76,85
102,2020,VOLKSWAGEN,TIGUAN,78,81,85,79
103,2020,VOLVO,S60,79,70,87,75
104,2020,VOLVO,XC40,83,77,90,74
105,2020,VOLVO,XC60,82,76,88,78
106,2019,ACURA,ILX,78,77,72,77
107,2019,ACURA,MDX,81,79,69,78
108,2019,ACURA,RDX,79,73,77,77
109,2019,ACURA,TLX,83,83,75,74
110,2019,ALFA ROMEO,GIULIA,75,75,71,74
111,2019,ALFA ROMEO,STELVIO,76,73,76,74
112,2019,AUDI,A4,84,83,82,72
113,2019,AUDI,A4 ALLROAD,84,83,82,72
114,2019,AUDI,A5 SPORT,83,79,81,74
115,2019,AUDI,A6,81,72,82,73
116,2019,AUDI,A7,90,85,91,74
117,2019,AUDI,Q5,84,80,85,75
118,2019,AUDI,Q7,84,78,81,77
119,2019,AUDI,Q8,89,79,87,80
120,2019,BMW,2 SERIES,87,88,84,90
121,2019,BMW,4 SERIES,85,87,78,76
122,2019,BMW,5 SERIES,85,85,82,71
123,2019,BMW,7 SERIES,88,89,82,66
124,2019,BMW,X3,83,82,83,73
125,2019,BMW,X4,89,89,92,74
126,2019,BMW,X5,82,72,86,74
127,2019,BUICK,ENCLAVE,83,85,82,76
128,2019,BUICK,ENCORE,80,87,80,81
129,2019,BUICK,ENVISION,83,89,82,75
130,2019,BUICK,LACROSSE,84,85,74,78
131,2019,CADILLAC,CT6,85,78,81,69
132,2019,CADILLAC,CTS,82,73,74,76
133,2019,CADILLAC,CTS-V,82,73,74,76
134,2019,CADILLAC,ESCALADE,89,79,81,79
135,2019,CADILLAC,ESCALADE ESV,89,79,81,79
136,2019,CADILLAC,XT4,83,73,78,85
137,2019,CADILLAC,XT5,84,79,74,75
138,2019,CHEVROLET,BLAZER,90,84,95,88
139,2019,CHEVROLET,BOLT EV,72,74,78,75
140,2019,CHEVROLET,CAMARO,81,79,83,81
141,2019,CHEVROLET,COLORADO REGULAR CAB,76,77,71,85
142,2019,CHEVROLET,CORVETTE,84,82,72,91
143,2019,CHEVROLET,CRUZE,82,84,82,85
144,2019,CHEVROLET,EQUINOX,83,86,84,82
145,2019,CHEVROLET,IMPALA,85,83,83,80
146,2019,CHEVROLET,MALIBU,82,85,77,84
147,2019,CHEVROLET,SILVERADO 1500 EXTENDED CAB,84,81,76,95
148,2019,CHEVROLET,SILVERADO 1500 LD DOUBLE CAB,84,81,76,95
149,2019,CHEVROLET,SILVERADO 3500 HD DOUBLE CAB,85,87,70,95
150,2019,CHEVROLET,SONIC,76,80,82,76
151,2019,CHEVROLET,SPARK,71,80,72,71
152,2019,CHEVROLET,SUBURBAN,83,81,77,86
153,2019,CHEVROLET,TAHOE,86,85,76,92
154,2019,CHEVROLET,TRAVERSE,83,82,83,81
155,2019,CHEVROLET,TRAX,73,79,73,81
156,2019,CHEVROLET,VOLT,73,78,71,75
157,2019,CHRYSLER,300,79,79,82,81
158,2019,CHRYSLER,PACIFICA,71,70,78,73
159,2019,DODGE,CHALLENGER,80,76,87,94
160,2019,DODGE,CHARGER,80,75,91,83
161,2019,DODGE,DURANGO,80,77,88,88
162,2019,DODGE,GRAND CARAVAN PASSENGER,66,71,65,79
163,2019,FORD,EDGE,78,74,83,83
164,2019,FORD,ESCAPE,77,80,82,82
165,2019,FORD,EXPEDITION,83,79,89,83
166,2019,FORD,EXPEDITION MAX,83,79,89,83
167,2019,FORD,EXPLORER,78,78,80,82
168,2019,FORD,F150 (HERITAGE) SUPER CAB,83,80,82,94
169,2019,FORD,FIESTA,66,73,71,74
170,2019,FORD,FLEX,79,81,81,79
171,2019,FORD,MUSTANG,76,73,82,81
172,2019,FORD,RANGER REGULAR CAB,78,77,81,78
173,2019,FORD,F250 CREW CAB,82,80,78,94
174,2019,FORD,F350 SUPER CAB,82,80,78,94
175,2019,FORD,ECONOLINE E250 CARGO,82,80,78,94
176,2019,FORD,TAURUS,77,78,73,76
177,2019,FORD,TRANSIT 350 VAN,61,62,63,77
178,2019,FORD,TRANSIT CONNECT PASSENGER,61,62,63,77
179,2019,FORD,TRANSIT 150 WAGON,61,62,63,77
180,2019,FORD,TRANSIT 150 VAN,61,62,63,77
181,2019,GENESIS,G70,86,86,85,73
