,make,year,model,rating,source
0,Acura,2020,ILX,-1,jdpower.com
1,Acura,2020,MDX,-1,jdpower.com
2,Acura,2020,RDX,-1,jdpower.com
3,Acura,2020,RLX,-1,jdpower.com
4,Acura,2020,TLX,-1,jdpower.com
5,Audi,2020,A3 Sedan,-1,jdpower.com
6,Audi,2020,Q3,-1,jdpower.com
7,Audi,2020,Q5,-1,jdpower.com
8,Audi,2020,R8 Coupe,-1,jdpower.com
9,Audi,2020,R8 Spyder,-1,jdpower.com
10,Audi,2020,TT Coupe,-1,jdpower.com
11,Audi,2020,TT Roadster,-1,jdpower.com
12,Bentley,2020,Bentayga,-1,jdpower.com
13,Bentley,2020,Continental,-1,jdpower.com
14,BMW,2020,2 Series,-1,jdpower.com
15,BMW,2020,3 Series,-1,jdpower.com
16,BMW,2020,4 Series,-1,jdpower.com
17,BMW,2020,5 Series,-1,jdpower.com
18,BMW,2020,7 Series,-1,jdpower.com
19,BMW,2020,8 Series,-1,jdpower.com
20,BMW,2020,M2,-1,jdpower.com
21,BMW,2020,M4,-1,jdpower.com
22,BMW,2020,M5,-1,jdpower.com
23,BMW,2020,M8,-1,jdpower.com
24,BMW,2020,X1,-1,jdpower.com
25,BMW,2020,X2,-1,jdpower.com
26,BMW,2020,X3,-1,jdpower.com
27,BMW,2020,X3 M,-1,jdpower.com
28,BMW,2020,X4,-1,jdpower.com
29,BMW,2020,X4 M,-1,jdpower.com
30,BMW,2020,X5,-1,jdpower.com
31,BMW,2020,X6,-1,jdpower.com
32,BMW,2020,X7,-1,jdpower.com
33,BMW,2020,Z4,-1,jdpower.com
34,Buick,2020,Enclave,-1,jdpower.com
35,Buick,2020,Encore,-1,jdpower.com
36,Buick,2020,Encore GX,-1,jdpower.com
37,Buick,2020,Envision,-1,jdpower.com
38,Cadillac,2020,CT5,-1,jdpower.com
39,Cadillac,2020,CT6,-1,jdpower.com
40,Cadillac,2020,Escalade,-1,jdpower.com
41,Cadillac,2020,Escalade ESV,-1,jdpower.com
42,Cadillac,2020,XT4,-1,jdpower.com
43,Cadillac,2020,XT5,-1,jdpower.com
44,Cadillac,2020,XT6,-1,jdpower.com
45,Chevrolet,2020,Blazer,-1,jdpower.com
46,Chevrolet,2020,Camaro,-1,jdpower.com
47,Chevrolet,2020,Colorado,-1,jdpower.com
48,Chevrolet,2020,Equinox,-1,jdpower.com
49,Chevrolet,2020,Express Cargo Van,-1,jdpower.com
50,Chevrolet,2020,Express Passenger,-1,jdpower.com
51,Chevrolet,2020,Impala,-1,jdpower.com
52,Chevrolet,2020,Malibu,-1,jdpower.com
53,Chevrolet,2020,Silverado 1500,-1,jdpower.com
54,Chevrolet,2020,Silverado 2500HD,-1,jdpower.com
55,Chevrolet,2020,Silverado 3500HD,-1,jdpower.com
56,Chevrolet,2020,Sonic,-1,jdpower.com
57,Chevrolet,2020,Spark,-1,jdpower.com
58,Chevrolet,2020,Suburban,-1,jdpower.com
59,Chevrolet,2020,Tahoe,-1,jdpower.com
60,Chevrolet,2020,Traverse,-1,jdpower.com
61,Chevrolet,2020,Trax,-1,jdpower.com
62,Chrysler,2020,Pacifica,-1,jdpower.com
63,Chrysler,2020,Voyager,-1,jdpower.com
64,Dodge,2020,-1,-1,jdpower.com
65,FIAT,2020,124 Spider,-1,jdpower.com
66,FIAT,2020,500L,-1,jdpower.com
67,FIAT,2020,500X,-1,jdpower.com
68,Ford,2020,EcoSport,-1,jdpower.com
69,Ford,2020,Edge,-1,jdpower.com
70,Ford,2020,Escape,-1,jdpower.com
71,Ford,2020,Expedition,-1,jdpower.com
72,Ford,2020,Expedition Max,-1,jdpower.com
73,Ford,2020,Explorer,-1,jdpower.com
74,Ford,2020,F-150,-1,jdpower.com
75,Ford,2020,Fusion,-1,jdpower.com
76,Ford,2020,Fusion Energi,-1,jdpower.com
77,Ford,2020,Fusion Hybrid,-1,jdpower.com
78,Ford,2020,Mustang,-1,jdpower.com
79,Ford,2020,Ranger,-1,jdpower.com
80,Ford,2020,Super Duty F-250 SRW,-1,jdpower.com
81,Ford,2020,Super Duty F-350 DRW,-1,jdpower.com
82,Ford,2020,Super Duty F-350 SRW,-1,jdpower.com
83,Ford,2020,Super Duty F-450 DRW,-1,jdpower.com
84,Ford,2020,Transit Cargo Van,-1,jdpower.com
85,Ford,2020,Transit Connect Van,-1,jdpower.com
86,Ford,2020,Transit Connect Wagon,-1,jdpower.com
87,Ford,2020,Transit Crew Van,-1,jdpower.com
88,Ford,2020,Transit Passenger Wagon,-1,jdpower.com
89,Genesis,2020,G70,-1,jdpower.com
90,Genesis,2020,G80,-1,jdpower.com
91,GMC,2020,Acadia,-1,jdpower.com
92,GMC,2020,Canyon,-1,jdpower.com
93,GMC,2020,Savana Cargo Van,-1,jdpower.com
94,GMC,2020,Sierra 1500,-1,jdpower.com
95,GMC,2020,Sierra 2500HD,-1,jdpower.com
96,GMC,2020,Sierra 3500HD,-1,jdpower.com
97,GMC,2020,Terrain,-1,jdpower.com
98,GMC,2020,Yukon,-1,jdpower.com
99,GMC,2020,Yukon XL,-1,jdpower.com
100,Honda,2020,Accord Hybrid,-1,jdpower.com
101,Honda,2020,Accord Sedan,-1,jdpower.com
102,Honda,2020,Civic Coupe,-1,jdpower.com
103,Honda,2020,Civic Hatchback,-1,jdpower.com
104,Honda,2020,Civic Sedan,-1,jdpower.com
105,Honda,2020,Civic Si Coupe,-1,jdpower.com
